NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,STATE,WEEK,YEAR
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2010-10-10,6.967142857142856,0.0014285714285714286,0.0,0.0,76.57142857142857,54.142857142857146,New Mexico,40,2010
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2010-10-17,5.208571428571429,0.0,0.0,0.0,74.85714285714286,49.42857142857143,New Mexico,41,2010
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2010-10-24,7.287142857142858,0.02428571428571429,0.0,0.0,68.28571428571429,47.857142857142854,New Mexico,42,2010
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2010-10-31,8.084285714285715,0.0,0.0,0.0,65.71428571428571,39.714285714285715,New Mexico,43,2010
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2010-11-07,6.07,0.0,0.0,0.0,67.0,42.142857142857146,New Mexico,44,2010
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2010-11-14,6.328571428571428,0.0,0.0,0.0,55.714285714285715,31.857142857142858,New Mexico,45,2010
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2010-11-21,7.382857142857142,0.0,0.0,0.0,59.285714285714285,33.142857142857146,New Mexico,46,2010
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2010-11-28,8.884285714285713,0.002857142857142857,0.04285714285714286,0.0,49.57142857142857,25.0,New Mexico,47,2010
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2010-12-05,4.825714285714286,0.0,0.0,0.0,52.285714285714285,28.142857142857142,New Mexico,48,2010
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2010-12-12,5.721428571428571,0.0,0.0,0.0,56.42857142857143,30.857142857142858,New Mexico,49,2010
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2010-12-19,6.134285714285714,0.13857142857142857,0.15714285714285717,0.0,53.857142857142854,33.142857142857146,New Mexico,50,2010
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2010-12-26,4.7299999999999995,0.011428571428571429,0.0,0.0,52.142857142857146,35.57142857142857,New Mexico,51,2010
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2011-01-02,7.732857142857143,0.002857142857142857,0.08571428571428572,0.0,37.857142857142854,19.428571428571427,New Mexico,52,2011
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2011-01-09,6.04,0.0,0.0,0.0,45.857142857142854,22.714285714285715,New Mexico,1,2011
