"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-08","3.80","0.00","0.0","0.0",,"51","30","    1",,,,,,"    1","    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-09","11.41","0.40","0.0","0.0",,"49","26","    1",,,,"    1",,,,,,,"    1","    1","    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-10","10.51","0.00","0.0","0.0",,"37","24",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-11","6.26","0.00","0.0","0.0",,"43","25",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-12","6.71","0.17","1.7","0.0",,"36","24","    1",,,,,,,,,,,"    1",,"    1",,"    1",,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-13","3.58","0.00","0.0","0.0",,"47","21",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-14","7.16","0.18","0.0","0.0",,"51","29","    1",,,,"    1",,,"    1",,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-15","11.41","0.09","0.0","0.0",,"44","26","    1",,,,"    1",,,,,,,"    1",,"    1",,"    1",,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-16","8.28","0.00","0.0","0.0",,"41","21",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-17","7.61","0.00","0.0","0.0",,"47","29",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-18","3.80","0.00","0.0","0.0",,"54","24",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-19","2.24","0.00","0.0","0.0",,"59","28",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-20","0.22","0.00","0.0","0.0",,"64","29",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-21","6.71","0.00","0.0","0.0",,"69","34",,,,,,,,"    1",,,,,,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-22","6.71","0.06","0.0","0.0",,"59","42","    1",,"    1",,"    1",,,,,,,,"    1","    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-23","8.05","0.00","0.0","0.0",,"45","37",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-24","11.41","0.00","0.0","0.0",,"48","29",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-25","5.59","0.00","0.0","0.0",,"46","23",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-26","3.13","0.00","0.0","0.0",,"53","26",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-27","5.82","0.00","0.0","0.0",,"54","30",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-02-28","4.70","0.00","0.0","0.0",,"59","28",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-01","6.26","0.47","0.0","0.0",,"58","35","    1",,,,"    1",,,,,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-02","10.07","0.48","0.0","0.0",,"42","35","    1",,"    1","    1","    1",,,,,,,,,"    1",,"    1","    1",,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-03","6.04","0.00","0.0","0.0",,"40","29",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-04","4.25","0.00","0.0","0.0",,"51","24","    1",,,,,,,"    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-05","4.47","0.00","0.0","0.0",,"56","26",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-06","2.46","0.00","0.0","0.0",,"61","26",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-07","1.12","0.00","0.0","0.0",,"66","30",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-08","2.68","0.00","0.0","0.0",,"73","35",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-09","6.71","0.30","0.0","0.0",,"68","46","    1",,"    1",,"    1",,,"    1",,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-10","9.62","3.14","0.0","0.0",,"58","52","    1",,"    1",,"    1",,,,,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-11","8.05","0.27","0.0","0.0",,"74","56","    1",,,,"    1",,,,,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-12","8.50","0.96","0.0","0.0",,"65","52","    1",,"    1",,"    1",,,,,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-13","10.51","0.01","0.0","0.0",,"53","44",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-14","10.29","0.02","0.0","0.0",,"52","44","    1",,,,"    1",,,"    1",,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-15","9.62","0.00","0.0","0.0",,"53","45",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-16","8.72","0.00","0.0","0.0",,"51","46",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-17","2.46","0.00","0.0","0.0",,"52","45",,,,,,,"    1","    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-18","3.80","0.00","0.0","0.0",,"66","43","    1",,,,,,"    1","    1",,,,"    1",,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-19","1.12","0.00","0.0","0.0",,"72","38","    1",,,,,,"    1","    1",,,,"    1",,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-03-20","4.70","0.00","0.0","0.0",,"70","43",,,,,,,,,,,,,,,,,,,
