STATE,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Idaho,2011,4,3.4288,170,13,4958
Illinois,2011,4,4.71879,1991,77,42193
Indiana,2011,4,6.90447,902,40,13064
Iowa,2011,4,2.19041,101,10,4611
Kansas,2011,4,2.84569,291,42,10226
Kentucky,2011,4,2.02093,365,15,18061
Louisiana,2011,4,6.63419,1035,35,15601
Maine,2011,4,1.03409,64,30,6189
Maryland,2011,4,3.80076,322,18,8472
Massachusetts,2011,4,1.86385,512,53,27470
Michigan,2011,4,1.59031,252,49,15846
Minnesota,2011,4,1.98138,100,14,5047
Mississippi,2011,4,6.58129,1146,46,17413
Missouri,2011,4,3.66952,322,31,8775
Montana,2011,4,0.207828,6,6,2887
Nebraska,2011,4,4.47843,164,16,3662
Nevada,2011,4,3.83545,772,38,20128
New Hampshire,2011,4,0.413456,22,30,5321
New Jersey,2011,4,5.90291,321,25,5438
New Mexico,2011,4,5.0758,452,25,8905
New York,2011,4,3.35509,437,104,13025
North Carolina,2011,4,4.89549,1260,76,25738
North Dakota,2011,4,1.02814,19,11,1848
Ohio,2011,4,2.40387,437,49,18179
Oklahoma,2011,4,14.4065,511,15,3547
Oregon,2011,4,2.11458,86,21,4067
Pennsylvania,2011,4,4.04659,681,61,16829
Rhode Island,2011,4,0.950899,55,21,5784
South Carolina,2011,4,4.84551,414,23,8544
South Dakota,2011,4,2.6757,150,19,5606
Tennessee,2011,4,5.15049,652,52,12659
Texas,2011,4,5.93439,3381,97,56973
Utah,2011,4,0.895355,48,13,5361
Vermont,2011,4,2.17977,89,14,4083
Virginia,2011,4,4.7423,3294,90,69460
Washington,2011,4,1.81388,46,14,2536
West Virginia,2011,4,2.88373,313,38,10854
Wisconsin,2011,4,2.37759,101,46,4248
Wyoming,2011,4,2.898,152,27,5245
New York City,2011,4,2.66343,2302,40,86430
Alabama,2011,5,12.5984,1504,36,11938
Alaska,2011,5,3.67868,49,7,1332
Arizona,2011,5,2.43798,682,71,27974
Arkansas,2011,5,6.48838,296,18,4562
California,2011,5,4.33983,1747,133,40255
Colorado,2011,5,2.52049,486,11,19282
Connecticut,2011,5,1.64619,71,21,4313
Delaware,2011,5,1.99868,91,15,4553
District of Columbia,2011,5,3.35762,106,4,3157
Florida,2011,5,X,X,X,X
Georgia,2011,5,4.79551,1828,64,38119
Hawaii,2011,5,3.73887,63,17,1685
Idaho,2011,5,3.94244,200,13,5073
Illinois,2011,5,4.9683,1857,76,37377
Indiana,2011,5,6.7716,826,42,12198
Iowa,2011,5,2.61337,102,9,3903
Kansas,2011,5,3.31402,286,42,8630
Kentucky,2011,5,3.20207,496,16,15490
Louisiana,2011,5,10.046,2251,44,22407
Maine,2011,5,1.47004,79,30,5374
Maryland,2011,5,4.0101,381,18,9501
Massachusetts,2011,5,2.37127,577,54,24333
Michigan,2011,5,1.73742,230,48,13238
Minnesota,2011,5,2.56631,119,14,4637
Mississippi,2011,5,6.80856,1142,47,16773
Missouri,2011,5,5.05806,318,31,6287
Montana,2011,5,0.836972,23,6,2748
Nebraska,2011,5,6.28019,156,14,2484
